date,target
10/25/2022 11:10,113.088
10/25/2022 11:15,114.719
10/25/2022 11:20,116.313
10/25/2022 11:25,114.704
10/25/2022 11:30,119.745
10/25/2022 11:35,108.501
10/25/2022 11:40,105.558
10/25/2022 11:45,113.835
10/25/2022 11:50,109.169
10/25/2022 11:55,104.661
10/25/2022 12:00,105.669
10/25/2022 12:05,110.89
10/25/2022 12:10,110.841
10/25/2022 12:15,111.057
10/25/2022 12:20,107.221
10/25/2022 12:25,107.591
10/25/2022 12:30,109.258
10/25/2022 12:35,101.226
10/25/2022 12:40,105.631
10/25/2022 12:45,119.026
10/25/2022 12:50,110.456
10/25/2022 12:55,103.801
10/25/2022 13:00,106.612
10/25/2022 13:05,111.468
10/25/2022 13:10,103.874
10/25/2022 13:15,116.229
10/25/2022 13:20,111.89
10/25/2022 13:25,106.826
10/25/2022 13:30,102.712
10/25/2022 13:35,105.043
10/25/2022 13:40,114.476
10/25/2022 13:45,106.314
10/25/2022 13:50,123.064
10/25/2022 13:55,108.314
10/25/2022 14:00,122.57
10/25/2022 14:05,102.769
10/25/2022 14:10,101.051
10/25/2022 14:15,114.364
10/25/2022 14:20,103.141
10/25/2022 14:25,105.575
10/25/2022 14:30,108.499
10/25/2022 14:35,111.623
10/25/2022 14:40,108.041
10/25/2022 14:45,110.18
10/25/2022 14:50,111.159
10/25/2022 14:55,115.837
10/25/2022 15:00,113.259
10/25/2022 15:05,107.464
10/25/2022 15:10,104.436
10/25/2022 15:15,116.51
10/25/2022 15:20,106.349
10/25/2022 15:25,109.256
10/25/2022 15:30,106.187
10/25/2022 15:35,116.657
10/25/2022 15:40,115.188
10/25/2022 15:45,107.424
10/25/2022 15:50,113.461
10/25/2022 15:55,102.982
10/25/2022 16:00,116.71
10/25/2022 16:05,106.599
10/25/2022 16:10,106.162
10/25/2022 16:15,103.554
10/25/2022 16:20,105.614
10/25/2022 16:25,112.79
10/25/2022 16:30,101.272
10/25/2022 16:35,108.368
10/25/2022 16:35,106.157
10/25/2022 16:40,109.905
10/25/2022 16:45,114.108
10/25/2022 16:50,114.06
10/25/2022 16:55,112.957
10/25/2022 17:00,108.325
10/25/2022 17:05,109.933
10/25/2022 17:10,118.338
10/25/2022 17:15,119.124
10/25/2022 17:20,106.202
10/25/2022 17:25,107.011
10/25/2022 17:30,105.723
10/25/2022 17:30,118.319
10/25/2022 17:35,106.835
10/25/2022 17:40,116.045
10/25/2022 17:45,103.847
10/25/2022 17:50,105.027
10/25/2022 17:55,114.715
10/25/2022 18:00,107.104
10/25/2022 18:05,109.529
10/25/2022 18:10,104.412
10/25/2022 18:15,106.749
10/25/2022 18:20,107.496
10/25/2022 18:25,105.129
10/25/2022 18:30,104.403
10/25/2022 18:35,102.76
10/25/2022 18:40,102.841
10/25/2022 18:45,133.185
10/25/2022 18:50,106.846
10/25/2022 18:55,112.877
10/25/2022 19:00,128.993
10/25/2022 19:05,114.599
10/25/2022 19:10,126.26
10/25/2022 19:15,119.828
10/25/2022 19:20,114.081
10/25/2022 19:25,121.688
10/25/2022 19:30,113.013
10/25/2022 19:35,122.986
10/25/2022 19:35,112.432
10/25/2022 19:40,101.241
10/25/2022 19:45,115.241
10/25/2022 19:50,116.011
10/25/2022 19:55,103.222
10/25/2022 20:00,116.296
10/25/2022 20:05,112.497
10/25/2022 20:10,102.331
10/25/2022 20:15,109.048
10/25/2022 20:20,102.794
10/25/2022 20:25,107.871
10/25/2022 20:30,126.147
10/25/2022 20:35,114.543
10/25/2022 20:40,110.098
